"x"
"V1" "primary_cancer"
"V2" "primary_cancer"
"V3" "primary_cancer"
"V4" "primary_cancer"
"V5" "primary_cancer"
"V6" "primary_cancer"
"V7" "primary_cancer"
"V8" "primary_cancer"
"V9" "primary_cancer"
"V10" "primary_cancer"
"V11" "primary_cancer"
"V12" "primary_cancer"
"V13" "primary_cancer"
"V14" "primary_cancer"
"V15" "primary_cancer"
"V16" "primary_cancer"
"V17" "primary_cancer"
"V18" "primary_cancer"
"V19" "normal_colon"
"V20" "normal_colon"
"V21" "normal_colon"
"V22" "normal_colon"
"V23" "normal_colon"
"V24" "normal_colon"
"V25" "normal_colon"
"V26" "normal_colon"
"V27" "normal_colon"
"V28" "normal_colon"
"V29" "normal_colon"
"V30" "normal_colon"
"V31" "normal_colon"
"V32" "normal_colon"
"V33" "normal_colon"
"V34" "normal_colon"
"V35" "normal_colon"
"V36" "normal_colon"
"V37" "metastasized_cancer"
"V38" "metastasized_cancer"
"V39" "metastasized_cancer"
"V40" "metastasized_cancer"
"V41" "metastasized_cancer"
"V42" "metastasized_cancer"
"V43" "metastasized_cancer"
"V44" "metastasized_cancer"
"V45" "metastasized_cancer"
"V46" "metastasized_cancer"
"V47" "metastasized_cancer"
"V48" "metastasized_cancer"
"V49" "metastasized_cancer"
"V50" "metastasized_cancer"
"V51" "metastasized_cancer"
"V52" "metastasized_cancer"
"V53" "metastasized_cancer"
"V54" "metastasized_cancer"
